date,segment,daily_net_flow,daily_buy,daily_sell,trade_count,cum_net_flow
2025-11-04,Medium,500.07999,749.99999,249.92000000000002,4,115533656.28434901
2025-11-05,Medium,2857.182387,2913.774387,56.592000000000006,17,115536513.466736
2025-11-06,Medium,-105.69060500000009,1051.5952949999999,1157.2859,15,115536407.776131
2025-11-07,Medium,1077.765999,1276.557999,198.79200000000003,6,115537485.54213001
2025-11-08,Medium,-3.6226999999999983,27.160000000000004,30.7827,3,115537481.91943
2025-11-09,Medium,9.783199999999997,18.9,9.116800000000001,2,115537491.70263001
2025-11-10,Medium,-56.0,0.0,56.0,1,115537435.70263001
2025-11-11,Medium,226.0,226.0,0.0,4,115537661.70263001
2025-11-12,Medium,496.4,496.4,0.0,3,115538158.10263
2025-11-13,Medium,-50.00320000000001,83.0,133.00320000000002,3,115538108.09943001
2025-11-14,Medium,1194.359996,1208.315396,13.9554,28,115539302.45942602
2025-11-15,Medium,380.743197,486.157197,105.41399999999999,29,115539683.20262301
2025-11-16,Medium,965.8679,1086.9046,121.0367,20,115540649.07052301
2025-11-17,Medium,3093.9668,4127.4068,1033.44,27,115543743.03732301
2025-11-19,Medium,1074.109896,1231.812296,157.7024,9,115544817.14721902
2024-06-05,Small,-5.2,8.2,13.4,6,-5.2
2024-06-06,Small,35.609868,35.609868,0.0,10,30.409868
2024-06-07,Small,20.675148,41.299998,20.62485,7,51.085015999999996
2024-06-08,Small,37.17987599999999,37.17987599999999,0.0,20,88.26489199999999
2024-06-09,Small,33.919978,33.919978,0.0,16,122.18486999999999
2024-06-10,Small,40.25149699999999,49.149767,8.89827,101,162.436367
2024-06-11,Small,62.469882999999996,64.799973,2.33009,24,224.90624999999997
2024-06-13,Small,28.999854000000006,28.999854000000006,0.0,2,253.90610399999997
2024-06-14,Small,-23.804199999999998,0.0,23.804199999999998,1,230.101904
2024-06-15,Small,0.6999989999999866,0.6999989999999866,0.0,1,230.80190299999998
2024-06-17,Small,4.0,4.0,0.0,1,234.80190299999998
2024-06-18,Small,10.340909000000002,22.977999,12.63709,10,245.14281199999996
2024-06-19,Small,0.356,0.356,0.0,2,245.498812
2024-09-21,Small,3.0997630000000003,3.0997630000000003,0.0,4,248.59857499999998
2024-09-23,Small,1.5706069999999999,2.239267,0.66866,8,250.16918199999998
2024-09-24,Small,1.419969,1.419969,0.0,1,251.589151
2024-09-25,Small,0.6399140000000001,0.6399140000000001,0.0,2,252.22906499999996
2024-09-26,Small,2.19,2.5780000000000003,0.388,3,254.41906499999996
2024-09-27,Small,-4.48741,0.0,4.48741,5,249.93165499999998
2024-09-28,Small,0.057245000000000004,1.029875,0.97263,4,249.98889999999997
2024-09-29,Small,0.06729500000000005,1.879645,1.81235,8,250.05619499999997
2024-09-30,Small,-0.15845499999999996,3.449535,3.60799,16,249.89773999999997
2024-10-01,Small,0.2216539999999999,0.8398939999999999,0.61824,3,250.11939399999997
2024-10-02,Small,0.149994,0.149994,0.0,1,250.26938799999996
2024-10-03,Small,-0.11356199999999994,1.6998579999999999,1.81342,9,250.15582599999996
2024-10-04,Small,-0.252915,3.869555,4.12247,17,249.90291099999996
2024-10-05,Small,1.1673339999999999,5.119474,3.95214,14,251.07024499999997
2024-10-06,Small,0.10667299999999985,6.928583,6.82191,25,251.17691799999997
2024-10-07,Small,0.03117100000000017,2.949771,2.9185999999999996,10,251.20808899999997
2024-10-09,Small,1.519955,1.519955,0.0,1,252.72804399999998
2024-10-10,Small,-1.64108,0.0,1.64108,2,251.08696399999997
2024-10-15,Small,-0.9766699999999999,0.0,0.9766699999999999,1,250.11029399999998
2024-10-17,Small,0.06635800000000014,4.559718,4.49336,8,250.17665199999996
2024-10-18,Small,0.0022649999999999615,0.339885,0.33762000000000003,2,250.17891699999998
2024-10-19,Small,0.03283200000000008,1.7697720000000001,1.7369400000000002,10,250.21174899999997
2024-10-20,Small,0.0328280000000003,2.159708,2.12688,6,250.24457699999996
2024-10-21,Small,0.021287000000000056,1.319977,1.29869,4,250.26586399999997
