17:05:20 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1140 batches, 570000 trades so far
17:05:24 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1150 batches, 575000 trades so far
17:05:26 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1160 batches, 580000 trades so far
17:05:28 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1170 batches, 585000 trades so far
17:05:30 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1180 batches, 590000 trades so far
17:05:32 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1190 batches, 595000 trades so far
17:05:34 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1200 batches, 600000 trades so far
17:05:36 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1210 batches, 605000 trades so far
17:05:38 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1220 batches, 610000 trades so far
17:05:40 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1230 batches, 615000 trades so far
17:05:42 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1240 batches, 620000 trades so far
17:05:44 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1250 batches, 625000 trades so far
17:05:46 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1260 batches, 630000 trades so far
17:05:48 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1270 batches, 635000 trades so far
17:05:50 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1280 batches, 640000 trades so far
17:05:52 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1290 batches, 645000 trades so far
17:05:54 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1300 batches, 650000 trades so far
17:05:56 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1310 batches, 655000 trades so far
17:05:58 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1320 batches, 660000 trades so far
17:06:00 | INFO | nevada-us-senate-election-winner: market will-a-republican-win-nevada-us-senate-election - processed 1330 batches, 665000 trades so far
